plot_code,day,month,year,subplot,LAI
STQ-08,30,7,2015,NA,4
STQ-08,30,7,2015,NA,4.12
STQ-08,30,7,2015,NA,3.53
STQ-08,30,7,2015,NA,3.85
STQ-08,30,7,2015,NA,3.84
STQ-08,30,7,2015,NA,3.22
STQ-11,22,9,2015,NA,3.63
STQ-11,22,9,2015,NA,3.49
STQ-11,22,9,2015,NA,4.86
STQ-11,30,7,2015,NA,3.35
STQ-11,30,7,2015,NA,3.49
STQ-11,30,7,2015,NA,3.56
STQ-11,30,7,2015,NA,3.07
STQ-11,30,7,2015,NA,3.06
STQ-11,30,7,2015,NA,4.15
STB-08,21,7,2015,NA,3.61
STB-08,21,7,2015,NA,3.3
STB-08,21,7,2015,NA,2.77
STB-12,15,9,2015,NA,3.03
STD-05,11,8,2015,NA,3.83
STD-05,11,8,2015,NA,3.06
STD-05,11,8,2015,NA,3.37
STD-05,11,8,2015,NA,3.99
STD-05,11,8,2015,NA,3.59
STD-05,11,8,2015,NA,3.98
STD-10,11,8,2015,NA,3.54
STD-10,11,8,2015,NA,3.63
STD-10,11,8,2015,NA,3.46
STD-10,11,8,2015,NA,4.02
STD-10,11,8,2015,NA,3.08
STD-10,11,8,2015,NA,3.99
STD-11,12,8,2015,NA,3.43
STD-11,12,8,2015,NA,3.27
STD-11,12,8,2015,NA,3.49
STD-11,12,8,2015,NA,3.64
STD-11,12,8,2015,NA,3.64
STD-11,12,8,2015,NA,3.32
STJ-01,20,7,2015,NA,3.36
STJ-01,20,7,2015,NA,3.59
STJ-01,20,7,2015,NA,3.67
STJ-01,20,7,2015,NA,3.88
STJ-01,20,7,2015,NA,3.63
STJ-01,20,7,2015,NA,3.6
STJ-04,20,7,2015,NA,3.42
STJ-04,20,7,2015,NA,3.8
STJ-04,20,7,2015,NA,3.53
STJ-04,20,7,2015,NA,3.45
STJ-04,20,7,2015,NA,3.85
STJ-04,20,7,2015,NA,3.04
STJ-05,20,7,2015,NA,2.99
STJ-05,20,7,2015,NA,3.09
STJ-05,20,7,2015,NA,3.42
STJ-05,20,7,2015,NA,3.26
STJ-05,20,7,2015,NA,3.78
STJ-05,20,7,2015,NA,3.22
STL-09,23,7,2015,NA,4.15
STL-09,23,7,2015,NA,3.73
STL-09,23,7,2015,NA,3.09
STL-09,23,7,2015,NA,3.83
STL-09,23,7,2015,NA,3.24
STL-09,23,7,2015,NA,3.87
STL-10,18,9,2015,NA,3.79
STL-10,18,9,2015,NA,3.66
STL-10,23,7,2015,NA,3.75
STL-10,23,7,2015,NA,3.42
STL-10,23,7,2015,NA,3.71
STL-10,23,7,2015,NA,4
STL-10,23,7,2015,NA,3.5
STN-02,14,7,2015,NA,3.21
STN-02,14,7,2015,NA,3.09
STN-02,14,7,2015,NA,3.34
STN-02,14,7,2015,NA,3.83
STN-02,14,7,2015,NA,3.29
STN-02,14,7,2015,NA,2.86
STN-02,24,8,2015,NA,3.3
STN-02,24,8,2015,NA,3.34
STN-02,24,8,2015,NA,3.55
STN-02,24,8,2015,NA,4.03
STN-02,24,8,2015,NA,3.78
STN-02,24,8,2015,NA,3.38
STN-03,24,7,2015,NA,3.49
STN-03,24,7,2015,NA,3.2
STN-03,24,7,2015,NA,4.53
STN-03,24,7,2015,NA,3
STN-03,24,7,2015,NA,3.02
STN-03,24,7,2015,NA,3.37
STN-03,24,9,2015,NA,3.65
STN-04,14,7,2015,NA,2.93
STN-04,14,7,2015,NA,3.56
STN-04,14,7,2015,NA,3.14
STN-04,14,7,2015,NA,4.32
STN-04,14,7,2015,NA,3.12
STN-04,14,7,2015,NA,3.44
STN-04,24,8,2015,NA,3.11
STN-04,24,8,2015,NA,3.41
STN-04,24,8,2015,NA,3.09
STN-04,24,8,2015,NA,4.02
STN-04,24,8,2015,NA,3.15
STN-04,24,8,2015,NA,3.7
STN-06,29,7,2015,NA,3.53
STN-06,29,7,2015,NA,3.55
STN-06,29,7,2015,NA,4.2
STN-06,29,7,2015,NA,4.03
STN-06,29,7,2015,NA,4.16
STN-06,29,7,2015,NA,3.33
STN-09,29,7,2015,NA,3.08
STN-09,29,7,2015,NA,3.17
STN-09,29,7,2015,NA,2.78
STO-03,24,7,2015,NA,3.34
STO-03,24,7,2015,NA,2.81
STO-03,24,7,2015,NA,2.96
STO-03,24,7,2015,NA,3.5
STO-06,22,7,2015,NA,3.61
STO-06,22,7,2015,NA,3.76
STO-06,22,7,2015,NA,4.06
STO-06,22,7,2015,NA,4.79
STO-06,22,7,2015,NA,3.61
STO-06,23,9,2015,NA,3.7
STO-06,23,9,2015,NA,3.9
STO-07,22,7,2015,NA,2.98
STO-07,22,7,2015,NA,3.15
STO-07,22,7,2015,NA,3.51
STO-07,22,7,2015,NA,3.72
STO-07,22,7,2015,NA,3.48
STO-07,22,7,2015,NA,3.3
STO-07,23,9,2015,NA,3.19
STO-07,23,9,2015,NA,3.49
STQ-08,18,11,2015,NA,4.31
STQ-08,18,11,2015,NA,4.52
STQ-08,18,11,2015,NA,3.32
STQ-08,18,11,2015,NA,3.77
STQ-08,18,11,2015,NA,3.66
STQ-08,18,11,2015,NA,3.08
STQ-08,19,10,2015,NA,3.84
STQ-08,19,10,2015,NA,3.92
STQ-08,19,10,2015,NA,4.22
STQ-08,19,10,2015,NA,3.69
STQ-08,19,10,2015,NA,4.02
STQ-08,19,10,2015,NA,4.13
STQ-11,18,11,2015,NA,3.64
STQ-11,18,11,2015,NA,3.71
STQ-11,18,11,2015,NA,3.9
STQ-11,18,11,2015,NA,3.41
STQ-11,18,11,2015,NA,3.67
STQ-11,18,11,2015,NA,4.48
STQ-11,19,10,2015,NA,4.08
STQ-11,19,10,2015,NA,3.96
STQ-11,19,10,2015,NA,4.3
STQ-11,19,10,2015,NA,3.27
STQ-11,19,10,2015,NA,3.39
STQ-11,19,10,2015,NA,4.1
STB-08,26,10,2015,NA,3.83
STB-08,26,10,2015,NA,3.41
STB-08,26,10,2015,NA,3.6
STB-08,26,10,2015,NA,3.23
STB-08,26,10,2015,NA,4.14
STB-08,26,10,2015,NA,3.33
STB-12,26,10,2015,NA,3.94
STB-12,26,10,2015,NA,3.84
STB-12,26,10,2015,NA,4.41
STB-12,26,10,2015,NA,4.25
STB-12,26,10,2015,NA,3.07
STB-12,26,10,2015,NA,3.74
STD-05,14,10,2015,NA,3.74
STD-05,14,10,2015,NA,3.41
STD-05,14,10,2015,NA,3.79
STD-05,14,10,2015,NA,4.77
STD-05,14,10,2015,NA,3.93
STD-05,14,10,2015,NA,4.47
STD-10,14,10,2015,NA,3.48
STD-10,14,10,2015,NA,3.17
STD-10,14,10,2015,NA,3.5
STD-10,14,10,2015,NA,4.4
STD-10,14,10,2015,NA,3.61
STD-10,14,10,2015,NA,3.87
STD-11,14,10,2015,NA,3.55
STD-11,14,10,2015,NA,2.89
STD-11,14,10,2015,NA,3.19
STD-11,14,10,2015,NA,3.86
STD-11,14,10,2015,NA,3.38
STD-11,14,10,2015,NA,3.58
STJ-01,16,11,2015,NA,3.16
STJ-01,16,11,2015,NA,3.69
STJ-01,16,11,2015,NA,3.97
STJ-01,16,11,2015,NA,4.46
STJ-01,16,11,2015,NA,3.45
STJ-01,16,11,2015,NA,4.24
STJ-01,22,10,2015,NA,3.11
STJ-01,22,10,2015,NA,3.7
STJ-01,22,10,2015,NA,3.69
STJ-01,22,10,2015,NA,4.03
STJ-01,22,10,2015,NA,3.4
