plot_code,day,month,year,subplot,LAI
BOB-01,13,3,2012,TRUE,3.72
BOB-01,13,3,2012,NA,3.9
BOB-01,13,3,2012,NA,4.29
BOB-01,13,3,2012,NA,5.32
BOB-01,13,3,2012,NA,3.16
BOB-01,13,3,2012,NA,3.16
BOB-01,13,3,2012,NA,3.56
BOB-01,13,3,2012,NA,2.96
BOB-01,13,3,2012,NA,2.76
BOB-01,13,3,2012,NA,2.56
BOB-01,13,3,2012,NA,4.76
BOB-01,13,3,2012,NA,3.5
BOB-01,13,3,2012,NA,3
BOB-01,13,3,2012,NA,3.91
BOB-01,13,3,2012,NA,3.52
BOB-01,13,3,2012,NA,3.1
BOB-01,13,3,2012,NA,2.81
BOB-01,13,3,2012,NA,3.93
BOB-01,13,3,2012,NA,2.38
BOB-01,13,3,2012,NA,3.59
BOB-01,13,3,2012,NA,3.75
BOB-01,13,3,2012,NA,4.33
BOB-01,13,3,2012,NA,2.9
BOB-01,13,3,2012,NA,2.52
BOB-01,13,3,2012,NA,3.25
BOB-01,10,4,2012,TRUE,3.47
BOB-01,10,4,2012,NA,3.04
BOB-01,10,4,2012,NA,3.96
BOB-01,10,4,2012,NA,4.55
BOB-01,10,4,2012,NA,3.11
BOB-01,10,4,2012,NA,3.9
BOB-01,10,4,2012,NA,3.87
BOB-01,10,4,2012,NA,3.05
BOB-01,10,4,2012,NA,3.09
BOB-01,10,4,2012,NA,2.91
BOB-01,10,4,2012,NA,4.92
BOB-01,10,4,2012,NA,3.64
BOB-01,10,4,2012,NA,3.23
BOB-01,10,4,2012,NA,2.97
BOB-01,10,4,2012,NA,4.16
BOB-01,10,4,2012,NA,3.17
BOB-01,10,4,2012,NA,3.28
BOB-01,10,4,2012,NA,3.76
BOB-01,10,4,2012,NA,3.23
BOB-01,10,4,2012,NA,3.75
BOB-01,10,4,2012,NA,4.02
BOB-01,10,4,2012,NA,4.01
BOB-01,10,4,2012,NA,3.51
BOB-01,10,4,2012,NA,2.38
BOB-01,10,4,2012,NA,3.45
BOB-01,8,5,2012,TRUE,4.21
BOB-01,8,5,2012,NA,3.39
BOB-01,8,5,2012,NA,4.18
BOB-01,8,5,2012,NA,3.12
BOB-01,8,5,2012,NA,2.73
BOB-01,8,5,2012,NA,3.48
BOB-01,8,5,2012,NA,3.31
BOB-01,8,5,2012,NA,2.33
BOB-01,8,5,2012,NA,2.47
BOB-01,8,5,2012,NA,2.18
BOB-01,8,5,2012,NA,3.98
BOB-01,8,5,2012,NA,4.09
BOB-01,8,5,2012,NA,2.35
BOB-01,8,5,2012,NA,2.66
BOB-01,8,5,2012,NA,4.12
BOB-01,8,5,2012,NA,2.89
BOB-01,8,5,2012,NA,2.73
BOB-01,8,5,2012,NA,2.93
BOB-01,8,5,2012,NA,2.36
BOB-01,8,5,2012,NA,3.41
BOB-01,8,5,2012,NA,4.37
BOB-01,8,5,2012,NA,4.63
BOB-01,8,5,2012,NA,3.56
BOB-01,8,5,2012,NA,2.22
BOB-01,8,5,2012,NA,3.13
BOB-01,5,6,2012,TRUE,3.22
BOB-01,5,6,2012,NA,3.1
BOB-01,5,6,2012,NA,3.58
BOB-01,5,6,2012,NA,4.39
BOB-01,5,6,2012,NA,2.8
BOB-01,5,6,2012,NA,2.87
BOB-01,5,6,2012,NA,3.36
BOB-01,5,6,2012,NA,2.41
BOB-01,5,6,2012,NA,2.07
BOB-01,5,6,2012,NA,2.29
BOB-01,5,6,2012,NA,5.4
BOB-01,5,6,2012,NA,2.85
BOB-01,5,6,2012,NA,2.16
BOB-01,5,6,2012,NA,2.56
BOB-01,5,6,2012,NA,4.15
BOB-01,5,6,2012,NA,2.65
BOB-01,5,6,2012,NA,2.6
BOB-01,5,6,2012,NA,2.69
BOB-01,5,6,2012,NA,2.73
BOB-01,5,6,2012,NA,3.37
BOB-01,5,6,2012,NA,3.66
BOB-01,5,6,2012,NA,3.11
BOB-01,5,6,2012,NA,2.68
BOB-01,5,6,2012,NA,2.67
BOB-01,5,6,2012,NA,3.81
BOB-01,30,7,2012,TRUE,3.69
BOB-01,30,7,2012,NA,3.46
